	adult	director	genre_ids	lead actors	movie_id	overview	popularity	poster_path	release_date	title	video	vote_average	vote_count
0	False	Tom McGrath	[16, 35, 10751]	[Alec Baldwin, Miles Bakshi, Jimmy Kimmel]	295693	A story about how a new baby's arrival impacts a family, told from the point of view of a delightfully unreliable narrator, a wildly imaginative 7 year old named Tim.	337.228907	/2B78dT7Bs8HhtpgcljOWlsaX5I6.jpg	2017-03-23	The Boss Baby	False	5.8	471
1	False	Bill Condon	[14, 10402, 10749]	[Emma Watson, Dan Stevens, Luke Evans]	321612	A live-action adaptation of Disney's version of the classic 'Beauty and the Beast' tale of a cursed prince and a beautiful young woman who helps him break the spell.	150.167688	/tWqifoYuwLETmmasnGHO7xBjEtt.jpg	2017-03-16	Beauty and the Beast	False	6.9	1690
2	False	James Mangold	[28, 18, 878]	[Hugh Jackman, Patrick Stewart, Dafne Keen]	263115	In the near future, a weary Logan cares for an ailing Professor X in a hide out on the Mexican border. But Logan's attempts to hide from the world and his legacy are up-ended when a young mutant arrives, being pursued by dark forces.	84.198451	/45Y1G5FEgttPAwjTYic6czC9xCn.jpg	2017-02-28	Logan	False	7.5	2384
3	False	Jordan Vogt-Roberts	[28, 12, 14]	[Tom Hiddleston, Samuel L. Jackson, Brie Larson]	293167	Explore the mysterious and dangerous home of the king of the apes as a team of explorers ventures deep inside the treacherous, primordial island.	65.631825	/6KpKpkH4Tf9fUkUuLPkO6OhYsTI.jpg	2017-03-08	Kong: Skull Island	False	6.1	1164
4	False	Garth Jennings	[16, 35, 18, 10751, 10402]	[Matthew McConaughey, Reese Witherspoon, Seth MacFarlane]	335797	A koala named Buster recruits his best friend to help him drum up business for his theater by hosting a singing competition.	63.976652	/s9ye87pvq2IaDvjv9x4IOXVjvA7.jpg	2016-11-23	Sing	False	6.7	1152
5	False	Rupert Sanders	[28, 18, 878]	[Scarlett Johansson, Pilou Asbæk, Takeshi Kitano]	315837	In the near future, Major is the first of her kind: a human saved from a terrible crash, who is cyber-enhanced to be a perfect soldier devoted to stopping the world's most dangerous criminals.	57.108395	/myRzRzCxdfUWjkJWgpHHZ1oGkJd.jpg	2017-03-29	Ghost in the Shell	False	6.1	548
6	False	Colin Trevorrow	[28, 12, 878, 53]	[Chris Pratt, Bryce Dallas Howard, Irrfan Khan]	135397	Twenty-two years after the events of Jurassic Park, Isla Nublar now features a fully functioning dinosaur theme park, Jurassic World, as originally envisioned by John Hammond.	40.814525	/jjBgi2r5cRt36xF6iNUEhzscEcb.jpg	2015-06-09	Jurassic World	False	6.5	6725
7	False	David Yates	[12, 28, 14]	[Eddie Redmayne, Colin Farrell, Katherine Waterston]	259316	In 1926, Newt Scamander arrives at the Magical Congress of the United States of America with a magically expanded briefcase, which houses a number of dangerous creatures and their habitats. When the creatures escape from the briefcase, it sends the American wizarding authorities after Newt, and threatens to strain even further the state of magical and non-magical relations.	37.655255	/gri0DDxsERr6B2sOR1fGLxLpSLx.jpg	2016-11-16	Fantastic Beasts and Where to Find Them	False	7.0	3305
8	False	M. Night Shyamalan	[27, 53]	[James McAvoy, Anya Taylor-Joy, Betty Buckley]	381288	Though Kevin has evidenced 23 personalities to his trusted psychiatrist, Dr. Fletcher, there remains one still submerged who is set to materialize and dominate all the others. Compelled to abduct three teenage girls led by the willful, observant Casey, Kevin reaches a war for survival among all of those contained within him — as well as everyone around him — as the walls between his compartments shatter apart.	36.786269	/rXMWOZiCt6eMX22jWuTOSdQ98bY.jpg	2017-01-19	Split	False	6.8	1832
9	False	Gareth Edwards	[28, 18, 878, 10752]	[Felicity Jones, Diego Luna, Ben Mendelsohn]	330459	A rogue band of resistance fighters unite for a mission to steal the Death Star plans and bring a new hope to the galaxy.	34.950227	/qjiskwlV1qQzRCjpV0cL9pEMF9a.jpg	2016-12-14	Rogue One: A Star Wars Story	False	7.3	3128
10	False	F. Gary Gray	[28, 80, 18, 53]	[Vin Diesel, Dwayne Johnson, Jason Statham]	337339	When a mysterious woman seduces Dom into the world of crime and a betrayal of those closest to him, the crew face trials that will test them as never before.	32.117669	/iNpz2DgTsTMPaDRZq2tnbqjL2vF.jpg	2017-04-12	The Fate of the Furious	False	7.2	368
