10402,10749,10751,10752,10770,12,14,16,18,27,28,35,36,37,53,80,878,9648,99,adult,director,lead actors,movie_id,overview,popularity,poster_path,release_date,title,video,vote_average,vote_count
0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,1,0,False,Denis Villeneuve,"[u'Amy Adams', u'Jeremy Renner', u'Forest Whitaker']",329865,"Taking place after alien crafts land around the world, an expert linguist is recruited by the military to determine whether they come in peace or are a threat.",25.66195,/hLudzvGfpi6JlwUnsNhXwKKg4j.jpg,2016-11-10,Arrival,False,6.9,3510
0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,False,David Fincher,"[u'Ben Affleck', u'Rosamund Pike', u'Carrie Coon']",210577,"With his wife's disappearance having become the focus of an intense media circus, a man sees the spotlight turned on him when it's suspected that he may not be innocent.",13.126754,/gdiLTof3rbPDAmPaCf4g6op46bj.jpg,2014-10-01,Gone Girl,False,7.9,4669
0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,1,1,0,False,Christopher Nolan,"[u'Leonardo DiCaprio', u'Joseph Gordon-Levitt', u'Ellen Page']",27205,"Cobb, a skilled thief who commits corporate espionage by infiltrating the subconscious of his targets is offered a chance to regain his old life as payment for a task considered to be impossible: ""inception"", the implantation of another person's idea into a target's subconscious.",12.11045,/qmDpIHrmpJINaRKAfWQfftjCdyi.jpg,2010-07-14,Inception,False,8.0,11276
0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,1,0,False,Wes Ball,"[u""Dylan O'Brien"", u'Ki Hong Lee', u'Kaya Scodelario']",198663,"Set in a post-apocalyptic world, young Thomas is deposited in a community of boys after his memory is erased, soon learning they're all trapped in a maze that will require him to join forces with fellow ""runners"" for a shot at escape.",11.037776,/coss7RgL0NH6g4fC2s5atvf3dFO.jpg,2014-09-10,The Maze Runner,False,7.0,4125
0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,1,0,False,Quentin Tarantino,"[u'Samuel L. Jackson', u'Kurt Russell', u'Jennifer Jason Leigh']",273248,Bounty hunters seek shelter from a raging blizzard and get caught up in a plot of betrayal and deception.,9.701425,/fqe8JxDNO8B8QfOGTdjh6sPCdSC.jpg,2015-12-25,The Hateful Eight,False,7.5,3162
0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,1,1,0,False,Brad Bird,"[u'Britt Robertson', u'George Clooney', u'Raffey Cassidy']",158852,"Bound by a shared destiny, a bright, optimistic teen bursting with scientific curiosity and a former boy-genius inventor jaded by disillusionment embark on a danger-filled mission to unearth the secrets of an enigmatic place somewhere in time and space that exists in their collective memory as ""Tomorrowland.""",9.505707,/69Cz9VNQZy39fUE2g0Ggth6SBTM.jpg,2015-05-19,Tomorrowland,False,6.2,2329
0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,False,David Fincher,"[u'Brad Pitt', u'Morgan Freeman', u'Gwyneth Paltrow']",807,"Two homicide detectives are on a desperate hunt for a serial killer whose crimes are based on the ""seven deadly sins"" in this dark and haunting film that takes viewers from the tortured remains of one victim to the next. The seasoned Det. Sommerset researches each sin in an effort to get inside the killer's mind, while his novice partner, Mills, scoffs at his efforts to unravel the case.",9.323413,/zgB9CCTDlXRv50Z70ZI4elJtNEk.jpg,1995-09-22,Se7en,False,8.0,4449
0,0,0,0,0,1,0,0,0,0,1,1,0,0,1,1,0,1,0,False,Jon M. Chu,"[u'Jesse Eisenberg', u'Woody Harrelson', u'Mark Ruffalo']",291805,"One year after outwitting the FBI and winning the public’s adulation with their mind-bending spectacles, the Four Horsemen resurface only to find themselves face to face with a new enemy who enlists them to pull off their most dangerous heist yet.",9.218426,/hU0E130tsGdsYa4K9lc3Xrn5Wyt.jpg,2016-06-02,Now You See Me 2,False,6.6,2138
0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,False,David Yates,"[u'Daniel Radcliffe', u'Rupert Grint', u'Emma Watson']",675,"Returning for his fifth year of study at Hogwarts, Harry is stunned to find that his warnings about the return of Lord Voldemort have been ignored. Left with no choice, Harry takes matters into his own hands, training a small group of students – dubbed 'Dumbledore's Army' – to defend themselves against the dark arts.",8.909878,/4YnLxYLHhT4UQ8i9jxAXWy46Xuw.jpg,2007-06-28,Harry Potter and the Order of the Phoenix,False,7.3,4128
0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,False,André Øvredal,"[u'Emile Hirsch', u'Brian Cox', u'Ophelia Lovibond']",397243,"Father and son coroners who receive a mysterious homicide victim with no apparent cause of death. As they attempt to identify the beautiful young ""Jane Doe,"" they discover increasingly bizarre clues that hold the key to her terrifying secrets.",8.412456,/cEPR5dx1XMMvBtuzBIL4rR5xnh5.jpg,2016-12-21,The Autopsy of Jane Doe,False,6.5,296
