,10402,10749,10751,10752,12,14,16,18,27,28,35,36,37,53,80,878,9648,adult,director,lead actors,movie_id,overview,popularity,poster_path,release_date,title,video,vote_average,vote_count
0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,False,Tom McGrath,"[u'Alec Baldwin', u'Miles Bakshi', u'Jimmy Kimmel']",295693,"A story about how a new baby's arrival impacts a family, told from the point of view of a delightfully unreliable narrator, a wildly imaginative 7 year old named Tim.",305.881041,/unPB1iyEeTBcKiLg8W083rlViFH.jpg,2017-03-23,The Boss Baby,False,5.7,510
1,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,False,Bill Condon,"[u'Emma Watson', u'Dan Stevens', u'Luke Evans']",321612,A live-action adaptation of Disney's version of the classic 'Beauty and the Beast' tale of a cursed prince and a beautiful young woman who helps him break the spell.,149.54276,/tWqifoYuwLETmmasnGHO7xBjEtt.jpg,2017-03-16,Beauty and the Beast,False,6.9,1690
2,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,False,James Mangold,"[u'Hugh Jackman', u'Patrick Stewart', u'Dafne Keen']",263115,"In the near future, a weary Logan cares for an ailing Professor X in a hide out on the Mexican border. But Logan's attempts to hide from the world and his legacy are up-ended when a young mutant arrives, being pursued by dark forces.",79.627847,/45Y1G5FEgttPAwjTYic6czC9xCn.jpg,2017-02-28,Logan,False,7.5,2429
3,1,0,1,0,0,0,1,1,0,0,1,0,0,0,0,0,0,False,Garth Jennings,"[u'Matthew McConaughey', u'Reese Witherspoon', u'Seth MacFarlane']",335797,A koala named Buster recruits his best friend to help him drum up business for his theater by hosting a singing competition.,77.930498,/s9ye87pvq2IaDvjv9x4IOXVjvA7.jpg,2016-11-23,Sing,False,6.7,1170
4,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,False,Jordan Vogt-Roberts,"[u'Tom Hiddleston', u'Samuel L. Jackson', u'Brie Larson']",293167,"Explore the mysterious and dangerous home of the king of the apes as a team of explorers ventures deep inside the treacherous, primordial island.",61.012215,/5wBbdNb0NdGiZQJYoKHRv6VbiOr.jpg,2017-03-08,Kong: Skull Island,False,6.0,1203
5,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,1,0,False,Colin Trevorrow,"[u'Chris Pratt', u'Bryce Dallas Howard', u'Irrfan Khan']",135397,"Twenty-two years after the events of Jurassic Park, Isla Nublar now features a fully functioning dinosaur theme park, Jurassic World, as originally envisioned by John Hammond.",56.445769,/jjBgi2r5cRt36xF6iNUEhzscEcb.jpg,2015-06-09,Jurassic World,False,6.5,6725
6,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,False,Rupert Sanders,"[u'Scarlett Johansson', u'Pilou Asb\xe6k', u'Takeshi Kitano']",315837,"In the near future, Major is the first of her kind: a human saved from a terrible crash, who is cyber-enhanced to be a perfect soldier devoted to stopping the world's most dangerous criminals.",54.90768,/myRzRzCxdfUWjkJWgpHHZ1oGkJd.jpg,2017-03-29,Ghost in the Shell,False,6.1,582
7,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,False,M. Night Shyamalan,"[u'James McAvoy', u'Anya Taylor-Joy', u'Betty Buckley']",381288,"Though Kevin has evidenced 23 personalities to his trusted psychiatrist, Dr. Fletcher, there remains one still submerged who is set to materialize and dominate all the others. Compelled to abduct three teenage girls led by the willful, observant Casey, Kevin reaches a war for survival among all of those contained within him — as well as everyone around him — as the walls between his compartments shatter apart.",44.703317,/rXMWOZiCt6eMX22jWuTOSdQ98bY.jpg,2017-01-19,Split,False,6.8,1869
8,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,False,David Yates,"[u'Eddie Redmayne', u'Colin Farrell', u'Katherine Waterston']",259316,"In 1926, Newt Scamander arrives at the Magical Congress of the United States of America with a magically expanded briefcase, which houses a number of dangerous creatures and their habitats. When the creatures escape from the briefcase, it sends the American wizarding authorities after Newt, and threatens to strain even further the state of magical and non-magical relations.",40.85248,/gri0DDxsERr6B2sOR1fGLxLpSLx.jpg,2016-11-16,Fantastic Beasts and Where to Find Them,False,7.0,3305
9,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0,False,F. Gary Gray,"[u'Vin Diesel', u'Dwayne Johnson', u'Jason Statham']",337339,"When a mysterious woman seduces Dom into the world of crime and a betrayal of those closest to him, the crew face trials that will test them as never before.",36.623332,/iNpz2DgTsTMPaDRZq2tnbqjL2vF.jpg,2017-04-12,The Fate of the Furious,False,7.2,466
10,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,1,0,False,Gareth Edwards,"[u'Felicity Jones', u'Diego Luna', u'Ben Mendelsohn']",330459,A rogue band of resistance fighters unite for a mission to steal the Death Star plans and bring a new hope to the galaxy.,35.825923,/qjiskwlV1qQzRCjpV0cL9pEMF9a.jpg,2016-12-14,Rogue One: A Star Wars Story,False,7.3,3143
11,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,1,0,False,George Miller,"[u'Tom Hardy', u'Charlize Theron', u'Nicholas Hoult']",76341,"An apocalyptic story set in the furthest reaches of our planet, in a stark desert landscape where humanity is broken, and most everyone is crazed fighting for the necessities of life. Within this world exist two rebels on the run who just might be able to restore order. There's Max, a man of action and a man of few words, who seeks peace of mind following the loss of his wife and child in the aftermath of the chaos. And Furiosa, a woman of action and a woman who believes her path to survival may be achieved if she can make it across the desert back to her childhood homeland.",33.238071,/kqjL17yufvn9OVLyXYpvtyrFfak.jpg,2015-05-13,Mad Max: Fury Road,False,7.2,7412
12,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,1,False,Denis Villeneuve,"[u'Amy Adams', u'Jeremy Renner', u'Forest Whitaker']",329865,"Taking place after alien crafts land around the world, an expert linguist is recruited by the military to determine whether they come in peace or are a threat.",33.143512,/hLudzvGfpi6JlwUnsNhXwKKg4j.jpg,2016-11-10,Arrival,False,6.9,3510
13,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,False,Christopher Nolan,"[u'Matthew McConaughey', u'Jessica Chastain', u'Anne Hathaway']",157336,Interstellar chronicles the adventures of a group of explorers who make use of a newly discovered wormhole to surpass the limitations on human space travel and conquer the vast distances involved in an interstellar voyage.,31.099007,/nBNZadXqJSdt05SHLqgT0HuC5Gm.jpg,2014-11-05,Interstellar,False,8.0,8189
14,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,False,James Gunn,"[u'Chris Pratt', u'Zoe Saldana', u'Dave Bautista']",118340,"Light years from Earth, 26 years after being abducted, Peter Quill finds himself the prime target of a manhunt after discovering an orb wanted by Ronan the Accuser.",30.924646,/y31QB9kn3XSudA15tV7UWQ9XLuW.jpg,2014-07-30,Guardians of the Galaxy,False,7.9,6888
